ï»¿serial-number,part-number,name,temperature,rx-power,tx-power,current,voltage,power-on-time,ip-address,Label
JAF41836000023F,P9H32A,fc/0/7,52,600.7,439.2,7.76,3349,35817,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,52,602.1,437.8,7.74,3346.1,35820,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,53,596.1,438.2,7.71,3314.2,35822,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,53,609.4,437.3,7.71,3328.8,35824,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,53,615.6,438.8,7.74,3340.3,35825,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,54,608.1,439.4,7.7,3319.7,35827,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,53,606.6,438.6,7.7,3346.5,35829,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,52,612.3,438.1,7.73,3356,35830,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,52,606.3,441.2,7.77,3349.9,35843,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,53,605.4,438.7,7.75,3333.8,35845,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,52,592.9,442,7.76,3336.7,35852,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,52,593.2,442.6,7.76,3347.6,35853,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,54,607.9,436,7.7,3347.9,35860,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,54,603,435.8,7.7,3342,35861,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,53,604.8,436.2,7.72,3348.5,35862,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,53,598.1,435.5,7.7,3361.8,35864,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,54,602,435.4,7.71,3340.1,35866,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,53,605.2,436.5,7.7,3346.4,35867,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,54,604.2,436.4,7.7,3339.9,35870,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,54,607.3,437.1,7.7,3334.1,35871,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,54,600.7,436.1,7.7,3344.1,35871,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,54,603.6,435.1,7.7,3329.1,35872,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,54,601.7,434.8,7.7,3343.7,35874,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,54,601,436.3,7.71,3331.8,35875,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,54,605,434.7,7.7,3339.3,35878,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,54,602,434.3,7.7,3347.7,35879,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,54,599.5,435.2,7.7,3344.1,35879,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,55,597.4,434.2,7.7,3341.6,35881,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,55,603.4,433.6,7.7,3353.8,35881,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,55,594.3,435,7.7,3347.3,35884,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,55,596.1,433.2,7.7,3343.4,35887,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,54,607.5,434.4,7.69,3348.5,35890,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,54,602.1,433.9,7.7,3341.3,35891,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,55,604.2,432.8,7.7,3342.9,35892,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,55,609.1,434,7.7,3343,35894,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,55,602.2,434.9,7.7,3350.6,35895,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,55,601.8,437.5,7.7,3331.3,35902,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,54,598.2,434.1,7.7,3350.3,35906,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,55,605.6,436.8,7.7,3339.9,35907,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,54,613.6,434.5,7.7,3362.6,35914,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,54,612.3,437.2,7.71,3366.8,35914,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,54,614.6,435.6,7.7,3343.4,35915,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,54,603.6,432.9,7.7,3346,35917,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,54,605.6,436.9,7.7,3329.7,35919,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,54,612,435.7,7.7,3336.2,35921,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,54,614.8,436.6,7.71,3316.3,35923,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,54,619.4,435.3,7.7,3324.2,35924,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,54,603.2,435.9,7.7,3329.3,35926,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,54,614.3,436.7,7.7,3342,35936,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,53,593.8,437,7.7,3330.3,35957,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,53,596.7,434.6,7.7,3351,35959,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,54,589.8,437.4,7.69,3349.8,35960,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,53,597.6,437.9,7.73,3356.2,35966,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,53,590.9,438.5,7.76,3341.5,35980,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,51,605.8,437.7,7.77,3351,36025,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,54,610.6,409.6,7.69,3350.3,36030,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,55,606.6,429.6,7.7,3318.9,36031,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,55,598.9,431.9,7.7,3330.9,36032,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,53,603.3,437.6,7.73,3319.2,36038,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,53,607.2,410.1,7.72,3345,36048,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,53,603.7,433.4,7.7,3312.1,36056,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,53,599.2,433.7,7.73,3349.3,36065,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,54,606.3,433,7.7,3325.4,36066,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,53,605.6,432.4,7.71,3353.9,36068,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,52,603.6,432.7,7.7,3347.9,36068,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,53,607.2,433.3,7.7,3342.7,36070,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,53,610.8,433.5,7.7,3331.8,36078,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,53,607.8,433.1,7.7,3346.1,36088,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,53,601.1,432,7.7,3359.7,36101,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,53,601.7,431.7,7.7,3352.9,36119,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,53,605.8,432.3,7.7,3345.6,36121,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,53,602.5,432.5,7.7,3331.8,36127,172.17.101.190,PreWarning
